#,Location,Opening Hours,Lat,Long
1,"City Hall, Dame Street, Dublin 2",10am to 5pm Monday to Sunday,53.34433879,-6.267207103
2,"Markievicz Leisure Centre, Townsend Street, Dublin 2","10am to 8pm Monday to Friday, 10am to 5pm Saturday and Sunday",53.34621489,-6.254380033
3,"St. Catherine’s Sports Centre, Marrowbone Lane, Dublin 8","10am to 8pm Monday to Friday, 10am to 5pm Saturday and Sunday",53.33911249,-6.286452602
4,"Irishtown Stadium, Strand Street, Dublin 4","10am to 8pm Monday to Friday, 10am to 5pm Saturday and Sunday",53.34044814,-6.220034775
5,"Finglas Leisure Centre, Mellowes Road, Finglas, Dublin 11","10am to 8pm Monday to Friday, 10am to 5pm Saturday and Sunday",53.39031293,-6.305703044
6,"Cabra Parkside Sports Centre, Ratoath Road, Cabra, Dublin 7","10am to 8pm Monday to Friday, 10am to 5pm Saturday and Sunday",53.36831532,-6.30715316
7,"Ballymun Leisure Centre, Ballymun Road, Ballymun, Dublin 9","10am to 8pm Monday to Friday, 10am to 5pm Saturday and Sunday",53.39467911,-6.264535188
8,"Ballyfermot Leisure Centre, Blackditch Road, Ballyfermot, Dublin 10","10am to 8pm Monday to Friday, 10am to 5pm Saturday and Sunday",53.34132695,-6.357629144
9,"Clontarf Rd. Sports Pitches, Clontarf Road, Dublin 3","10am to 8pm Monday to Friday, 10am to 5pm Saturday and Sunday",53.36327085,-6.224854275
10,"Ballymun Library, Ballymun Road, Ballymun, Dublin 9","Monday & Thursday 1pm to 8pm, Tuesday, Wednesday, Friday & Saturday 10am to 4pm",53.39055554,-6.265031731
11,"Cabra Library, Navan Road, Cabra, Dublin 7","Monday & Thursday 1pm to 8pm, Tuesday, Wednesday, Friday & Saturday 10am to 4pm",53.36193836,-6.299772061
12,"Coolock Library, Barryscourt Road, Kilmore, Dublin 17","Monday & Thursday 1pm to 8pm, Tuesday, Wednesday, Friday & Saturday 10am to 4pm
",53.39648962,-6.212118944
13,"Raheny Library, Howth Road, Raheny, Dublin 5","Monday & Thursday 1pm to 8pm, Tuesday, Wednesday, Friday & Saturday 10am to 4pm",53.38020697,-6.173108002
14,"Ballyfermot Library, Ballyfermot Road, Kylemore, Dublin 10","Monday & Thursday 1pm to 8pm, Tuesday, Wednesday, Friday & Saturday 10am to 4pm",53.3402167,-6.351662915
15,"Pearse Street Library, Pearse Street, Dublin 2","Monday & Thursday 1pm to 8pm, Tuesday, Wednesday, Friday & Saturday 10am to 4pm",53.34332923,-6.2451468
16,"Rathmines Library, Rathmines, Dublin 6","Monday & Thursday 1pm to 8pm, Tuesday, Wednesday, Friday & Saturday 10am to 4pm",53.32434978,-6.265849544
17,"Drumcondra Library, Millmount Avenue, Drumcondra, Dublin 9","Monday 1pm to 8pm, Tuesday, Wednesday, Thursday, Friday and Saturday 10am to 4pm",53.3699764,-6.259088461
18,"Dolphins Barn Library, Parnell Road, Crumlin, Dublin 12","Monday 1pm to 8pm, Tuesday, Wednesday, Thursday, Friday and Saturday 10am to 4pm",53.33146909,-6.291990646
19,"Kevin Street Library, Lower Kevin Street, Dublin 8","Monday 1pm to 8pm, Tuesday, Wednesday, Thursday, Friday and Saturday 10am to 4pm",53.33769695,-6.267652302
20,"Pembroke Library, Anglesea Road, Dublin 4","Monday 1pm to 8pm, Tuesday, Wednesday, Thursday, Friday and Saturday 10am to 4pm",53.32828717,-6.230541188
21,"Terenure Library, Templeogue Road, Terenure, Dublin 6W","Monday 1pm to 8pm, Tuesday, Wednesday, Thursday, Friday and Saturday 10am to 4pm",53.30914197,-6.285299446
22,"Walkinstown Library, Percy French Road, Walkinstown, Dublin 12","Monday 1pm to 8pm, Tuesday, Wednesday, Thursday, Friday and Saturday 10am to 4pm",53.31882286,-6.321912044
23,"Ryders Row, Dublin 1",10am to 6pm Monday to Sunday,53.35006727,-6.269243484
24,"Grafton Street, Dublin 2.",10am to 6pm Monday to Sunday,53.34090507,-6.261304716
25,"Bull Island, Dollymount Strand, Dublin 3.",10am to 6pm Monday to Sunday,53.35717725,-6.171173323
26,"Strand Road (beside Martello Tower), Sandymount, Dublin 4","24 hours, every day.",53.32517727,-6.206976814
27,"Albert College Park, Whitehall, Dublin 9.",,53.38257576,-6.260894417
28,"St Patrick's Park, Dublin 8.",,53.33986534,-6.270121523
